Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-05-22,1845.800048828125,111.08999999999999,118.92856666666667,116.82015159188693,291.299,285.33333333333337,115.5032839362292,91.13424657534247,95.0,1845.800048828125,111.86,112.88666666666666,111.97714285714287,119.14513333333333,120.73343333333334,119.63494285714285
2022-05-23,1847.800048828125,110.32,118.712,116.20783969801086,291.299,373.0,115.14756229048751,91.15890410958905,95.0,1847.800048828125,111.08999999999999,114.07,111.44142857142856,118.92856666666667,120.6812,119.35362857142857
2022-05-24,1865.0999755859375,112.55,118.6208,118.7894373454397,291.299,224794.0,116.38346644306314,91.18356164383562,95.0,1865.0999755859375,110.32,112.31,111.47571428571429,118.712,119.8816,119.17351428571429
2022-05-25,1846.199951171875,112.88,118.9561,113.79116564556678,291.299,0.0,115.86181475421026,91.2082191780822,95.0,1846.199951171875,112.55,109.67,111.9342857142857,118.6208,120.022,119.02124285714285
2022-05-26,1847.4000244140625,116.19,118.7671,113.86789663371154,291.299,206.0,115.81001188233144,91.23287671232876,95.0,1847.4000244140625,112.88,112.21,112.50285714285712,118.9561,119.4244,118.92734285714286
2022-05-27,1851.300048828125,114.96,118.2796,112.97282419450583,291.299,105.0,114.4715436848398,91.25753424657536,95.0,1851.300048828125,116.19,112.63,112.83571428571427,118.7671,119.3617,118.77275714285715
2022-05-28,1849.1500244140625,114.815,118.226925,113.13814214813935,291.299,1097.0,114.89892384224665,91.28219178082193,95.0,1849.1500244140625,114.96,111.86,113.25785714285715,118.2796,119.14513333333333,118.64158452380953
2022-05-29,1847.0,114.67,118.17425,113.30346010177288,291.299,2089.0,115.32630399965349,91.3068493150685,95.0,1847.0,114.815,111.08999999999999,113.76928571428572,118.226925,118.92856666666667,118.53382500000001
2022-05-30,1844.8499755859375,114.52499999999999,118.12157499999999,113.4687780554064,291.299,3081.0,115.75368415706033,91.33150684931506,95.0,1844.8499755859375,114.67,110.32,114.37,118.17425,118.712,118.44947857142859
2022-05-31,1842.699951171875,114.38,118.0689,113.63409600903992,291.299,4073.0,116.18106431446718,91.35616438356163,95.0,1842.699951171875,114.52499999999999,112.55,114.63142857142857,118.12157499999999,118.6208,118.37063571428573
2022-06-01,1843.300048828125,115.26,118.6936,112.55274328526995,295.072,1623.0,115.02543497943108,91.38082191780822,95.0,1843.300048828125,114.38,112.88,114.97142857142856,118.0689,118.9561,118.33313571428572
2022-06-02,1866.5,116.88,118.0642,113.3720419313448,295.072,551.0,114.37595670168632,91.4054794520548,95.0,1866.5,115.26,116.19,115.07000000000001,118.6936,118.7671,118.23272142857142
2022-06-03,1845.4000244140625,118.97,118.2138,116.44771651919456,295.072,33.0,114.86301715265662,91.43013698630138,95.0,1845.4000244140625,116.88,114.96,115.64285714285714,118.0642,118.2796,118.22332142857142
2022-06-04,1843.3333333333333,118.78333333333333,118.24430000000001,116.1532418550116,295.072,69.33333333333333,114.84447061578032,91.45479452054796,95.0,1843.3333333333333,118.97,114.815,116.20976190476189,118.2138,118.226925,118.22580357142859
2022-06-05,1841.2666422526042,118.59666666666666,118.2748,115.85876719082864,295.072,105.66666666666667,114.82592407890402,91.47945205479454,95.0,1841.2666422526042,118.78333333333333,114.67,116.77071428571428,118.24430000000001,118.17425,118.24016785714285
2022-06-06,1839.199951171875,118.41,118.3053,115.56429252664569,295.072,142.0,114.80737754202772,91.50410958904112,95.0,1839.199951171875,118.59666666666666,114.52499999999999,117.32571428571428,118.2748,118.12157499999999,118.26641428571429
2022-06-07,1847.5,119.55,118.4401,118.49011649065928,295.072,3.0,113.70597901534148,91.52876712328766,95.0,1847.5,118.41,114.38,118.06428571428572,118.3053,118.0689,118.31944285714285
2022-06-08,1851.9000244140625,121.94,118.3944,118.65524157944172,295.072,340591.0,114.0403447522517,91.55342465753424,95.0,1851.9000244140625,119.55,115.26,119.01857142857143,118.4401,118.6936,118.2767
2022-06-09,1848.800048828125,121.52,118.9193,114.27269205629544,295.072,293295.0,114.41936239789224,91.57808219178082,95.0,1848.800048828125,121.94,116.88,119.68142857142857,118.3944,118.0642,118.39885714285715
2022-06-10,1871.5,120.73,119.9942,117.19723611019408,295.072,1490.0,114.8169377451524,91.6027397260274,95.0,1871.5,121.52,118.97,119.93285714285715,118.9193,118.2138,118.6532
2022-06-11,1857.0,120.79333333333334,120.38003333333334,117.42757694870255,295.072,1013.6666666666666,114.8540729830143,91.62739726027397,95.0,1857.0,120.73,118.78333333333333,120.22,119.9942,118.24430000000001,118.95830476190476
2022-06-12,1842.5,120.85666666666667,120.76586666666667,117.657917787211,295.072,537.3333333333334,114.8912082208762,91.65205479452055,95.0,1842.5,120.79333333333334,118.59666666666666,120.54285714285713,120.38003333333334,118.2748,119.31417142857143
2022-06-13,1828.0,120.92,121.1517,117.88825862571947,295.072,61.0,114.9283434587381,91.67671232876712,95.0,1828.0,120.85666666666667,118.41,120.90142857142858,120.76586666666667,118.3053,119.72080000000003
